frequency_hz,pair_first_raw_db,pair_first_smoothed_db,energy_neutral_db,recommended_db,smoothing_width_octaves,pair_mad_db,n_pairs,attack_sustain_disagreement_db,loo_max_change_db,reliability,pipeline_version
25.0,-0.765760629227935,-0.7655849939186492,-0.9677739306470236,-0.5901243747273703,0.25,3.239162667674493,14,0.7905597417626863,0.0868495021796778,0.7473986503017527,V14.0
25.215369952966757,-0.766206000505856,-0.7654275576167393,-0.9676164943451137,-0.5900311249023956,0.25,3.237238995833671,14,0.7910712245885307,0.08676373597072706,0.747429581935816,V14.0
25.43259527459916,-0.7666136447154179,-0.7652571881557767,-0.967446124884151,-0.5899291189629674,0.25,3.2353744872848464,14,0.7915808670256077,0.08667331571507475,0.747461680067947,V14.0
25.651691948523673,-0.7669837291394461,-0.7650728136487223,-0.9672617503770966,-0.5898173128693922,0.25,3.2335688886118623,14,0.7920887569954839,0.08657824317636187,0.7474946393116324,V14.0
25.872676096062516,-0.7673164146470041,-0.7648730811571969,-0.9670620178855712,-0.5896943689406742,0.25,3.231821955916663,14,0.792594981884629,0.08647874814694234,0.747528048364107,V14.0
26.09556397741985,-0.7676118557544108,-0.7646564688309095,-0.9668454055592839,-0.5895587323172593,0.25,3.23013345472909,14,0.7930996285625754,0.08637517507881431,0.7475613805312135,V14.0
26.32037199287816,-0.767870200685008,-0.7644215566994174,-0.9666104934277917,-0.5894088306523776,0.25,3.228503159917916,14,0.7936027833999065,0.08626771124983557,0.7475939900220163,V14.0
26.54711668400512,-0.7680915914279516,-0.7641662399932897,-0.966355176721664,-0.5892424897243109,0.25,3.2269308556039364,14,0.7941045322861929,0.08615717262267508,0.7476251163735365,V14.0
26.775814734870597,-0.768276163795732,-0.7638896975833176,-0.9660786343116919,-0.5890584168184937,0.25,3.2254163350745877,14,0.7946049606477427,0.08604303484539733,0.7476538990135217,V14.0
27.00648297327442,-0.7684240474807216,-0.7635901365720312,-0.9657790733004056,-0.5888545352581487,0.25,3.223959400699937,14,0.7951041534652861,0.0859256883998396,0.7476794030811137,V14.0
27.23913837198449,-0.7685353661106362,-0.7632656160063609,-0.9654545527347352,-0.5886286294686107,0.25,3.222559863850734,14,0.7956021952915397,0.08580561497219186,0.7477006561985257,V14.0
27.473798049985657,-0.7686102373029247,-0.7629140366296684,-0.9651029733580427,-0.5883783735510197,0.25,3.2212175448174576,14,0.7960991702686653,0.08568339817334103,0.7477166940823397,V14.0
27.710479273739395,-0.7686487727181492,-0.7625331304113087,-0.964722067139683,-0.5881013638591478,0.25,3.2204677196553444,14,0.7965951621456339,0.08555973491891555,0.7477266115085257,V14.0
27.949199458454267,-0.7686510781123266,-0.7621204499419855,-0.9643093866703598,-0.5877951505307817,0.25,3.2203167604942218,14,0.7970902542954708,0.08543544743074283,0.7477296121711935,V14.0
28.18997616936729,-0.7686172533883124,-0.7616733578010298,-0.9638622945294042,-0.5874572637184141,0.25,3.2202194311126413,14,0.7975845297324597,0.08531149580498709,0.7477250519522067,V14.0
