frequency_hz,diagnostic_db,energy_neutral_db,recommended_db,ci95_low_db,ci95_high_db,pair_count,effective_pairs_kish,median_snr_db,reliability,codec_prior,pipeline_version
20.0,-0.0001001370571924303,0.9734821519166102,2.710070201439181e-05,-0.00434149805428386,0.004086278604439591,0,0.0,,2.0887393332467063e-05,1.0,V12.0
20.033765982017503,-1.6317346494249945e-05,0.9735659716273085,2.7102430495746892e-05,-0.004174379189347158,0.00406569190856798,0,0.0,,2.088737615093381e-05,1.0,V12.0
20.067588971112087,6.750236420393042e-05,0.9736497913380067,2.7104157912809666e-05,-0.004020118536467382,0.004045074088948134,0,0.0,,2.088735815144145e-05,1.0,V12.0
20.101469063528747,0.00015132207490211078,0.9737336110487048,2.710588423567308e-05,-0.0038684525209297773,0.004024456269328288,0,0.0,,2.088733931110261e-05,1.0,V12.0
20.13540635567497,0.00023514178560026905,0.973817430759403,2.7107609433565516e-05,-0.0037167865053922113,0.0040038384497084484,0,0.0,,2.088731960636965e-05,1.0,V12.0
20.16940094412101,0.0003189614962984494,0.9739012504701011,2.710933347535275e-05,-0.0035651204898546067,0.003983220630088602,0,0.0,,2.0887299013421637e-05,1.0,V12.0
20.203452925600157,0.00040278120699662986,0.9739850701807994,2.71110563303368e-05,-0.003413454474317001,0.0039626028104687554,0,0.0,,2.0887277508779863e-05,1.0,V12.0
20.237562397009018,0.000486600917694788,0.9740688898914975,2.7112777966729903e-05,-0.0032617884587794353,0.003941984990848915,0,0.0,,2.0887255068132172e-05,1.0,V12.0
20.271729455407794,0.0005704206283929684,0.9741527096021957,2.7114498352457664e-05,-0.0031101224432418303,0.003977995848123238,0,0.0,,2.0887231666951856e-05,1.0,V12.0
20.30595419802054,0.0006542403390911488,0.9742365293128938,2.7116217455182935e-05,-0.0029584564277042253,0.004035625013644232,0,0.0,,2.088720728051615e-05,1.0,V12.0
20.34023672223547,0.0007380600497893071,0.974320349023592,2.711793524234716e-05,-0.00280679041216666,0.00409325417916521,0,0.0,,2.088718188393815e-05,1.0,V12.0
20.374577125605207,0.0008218797604874874,0.9744041687342903,2.7119651681206173e-05,-0.0026551243966290543,0.004187515710811858,0,0.0,,2.0887155452194416e-05,1.0,V12.0
20.408975505847074,0.0009056994711856678,0.9744879884449884,2.7121366738868125e-05,-0.0025034583810914493,0.004215658106021206,0,0.0,,2.088712796015423e-05,1.0,V12.0
20.443431960843377,0.0009895191818838263,0.9745718081556866,2.7123080382333694e-05,-0.0023517923655538837,0.004277784897948285,0,0.0,,2.088709938261061e-05,1.0,V12.0
20.47794658864167,0.0010733388925820064,0.9746556278663847,2.712479257823335e-05,-0.002200126350016279,0.004336312090082227,0,0.0,,2.0887069694077998e-05,1.0,V12.0
20.51251948745504,0.001157158603280165,0.9747394475770829,2.712650329285867e-05,-0.0020811005699373376,0.004394839282216156,0,0.0,,2.088703886881648e-05,1.0,V12.0
20.547150755662393,0.0012409783139783453,0.974823267287781,2.7128212493081323e-05,-0.0019847355578851795,0.004453308209088616,0,0.0,,2.0887006881539407e-05,1.0,V12.0
20.581840491808723,0.0013247980246765254,0.9749070869984793,2.712992014583931e-05,-0.0018873069520577116,0.004511551625871227,0,0.0,,2.0886973707017745e-05,1.0,V12.0
20.6165887946054,0.0014086177353747058,0.9749909067091774,2.7131626218187695e-05,-0.001789878346230243,0.004503504672726384,0,0.0,,2.088693932011908e-05,1.0,V12.0
20.65139576293044,0.0014924374460728639,0.9750747264198756,2.7133330677351088e-05,-0.0015538400213853034,0.0044849702021292695,0,0.0,,2.0886903695847995e-05,1.0,V12.0
20.686261495828813,0.0015762571567710445,0.9751585461305737,2.7135033490888496e-05,-0.0013980485331545188,0.00446643573153215,0,0.0,,2.0886866809472933e-05,1.0,V12.0
20.72118609251269,0.0016600768674692248,0.975242365841272,2.7136734626571196e-05,-0.0013096474965708714,0.004447901260935031,0,0.0,,2.0886828636432098e-05,1.0,V12.0
20.75616965236174,0.001743896578167383,0.9753261855519701,2.7138434052479963e-05,-0.0012212464599872471,0.004442610903483805,0,0.0,,2.0886789152408222e-05,1.0,V12.0
